Notes:,,,,,,,,,,,,,,,,,
"Comp sales curves below are per performance, single tickets only.  Sub, Capacity, OCC% are provided for reference, perhaps helpful to cite in the dashboard in tooltip or elsewhere?",,,,,,,,,,,,,,,,,
"We have the comps at daily grain (Fri,Sat,Sun) but for now simplifying to use averages as same comp for every performance day (unless Piazza).  We may go to day-level comps in the future but need to learn more.",,,,,,,,,,,,,,,,,
"Important note: in our current methodology, we project to week of (""0"") but not all the way through Final (Mon after performance).  We need to start doing that going forward, which is a change, so ""Final"" is a new column.",,,,,,,,,,,,,,,,,
We have not yet incorporated performance tiers into our comp methodology but may in the future.,,,,, Link ,,,,,,,,,,,,
"Use ""Comp Desc"" as the label for the target line in the dashboard",,,,,,,,,,,,,,,,,
"Where ""Piazza Default"" or ""Global Default"" are listed for ""Comp Desc"", use those target lines.  24-25 Piazzas were CS3,4,6,8,9,10,14.  Both of these are imperfect but better than the 4-year averages that are the current defaults",,,,,,,,,,,,,,,,,
"Pops Sundays always have low subs, so they have different comps",,,,,,,,,,,,,,,,,
We have IDed comps but are missing some of the 10-week sales data for comps further out and will fill this in over time,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,," # weeks out (""0"" is Monday of performance week, ""Final"" is Monday following performance) ",,,,,,,,,,,,,,
Tess Performance Code,Performance Desc,Comp Desc,  10 ,  9 ,  8 ,  7 ,  6 ,  5 ,  4 ,  3 ,  2 ,  1 ,0, Final , Subs ,Capacity,Total OCC %
N/A,Global Default,N/A,  85 ,  90 ,  101 ,  101 ,  109 ,  116 ,  124 ,  146 ,  165 ,  206 ,  266 ,375,  650 ,1601,64%
N/A,Piazza Default,N/A,  47 ,  50 ,  62 ,  67 ,  74 ,  79 ,  87 ,  98 ,  129 ,  169 ,216,308,  426 ,1607,46%
251031E,CS2 Rach Fri Piazza,Piazza Default,,,,,,,,,,,,,,,
251101E,CS2 Rach Sat,23-24 CS8 Tchaik,  102 ,  112 ,  122 ,  125 ,  134 ,  142 ,  154 ,  180 ,  205 ,  253 ,326,460,  712 ,"  1,607 ",73%
251102M,CS2 Rach Sun,23-24 CS8 Tchaik,  102 ,  112 ,  122 ,  125 ,  134 ,  142 ,  154 ,  180 ,  205 ,  253 ,326,460,  712 ,"  1,607 ",73%
251121E,CS3 Mahler Fri Piazza,Piazza Default,,,,,,,,,,,,,,,
251122E,CS3 Mahler Sat,24-25 CS13 Mahler,  95 ,  99 ,  102 ,  110 ,  122 ,  133 ,  151 ,  168 ,  200 ,  234 ,272,431,  635 ,"  1,450 ",73%
251123M,CS3 Mahler Sun,24-25 CS13 Mahler,  95 ,  99 ,  102 ,  110 ,  122 ,  133 ,  151 ,  168 ,  200 ,  234 ,272,431,  635 ,"  1,450 ",73%
