,,,,Status:,Updated 10/20,,Denotes Piazza,Update all fields in Blue each week,We expect 50% of Single Sales 1 Week Prior,85%+ occupancy,,,,,,,,,,,100%+ of Target,,, ,,,,,,,,,,,,,,,
,,,,,,,,,,70-85% occupancy,,,,,,,,,,,90-99% of Target,,,,,,,,,,,,,,,,,,
,,,,,,Week #,,,,<70% occupancy,,,,,,,,,,,<90% of Target,,,,,,,,,,,,,,,,,,
,,,TICKET SALES REPORT as of 10/20/2025,,,8,,TOTAL SALES (Singles + Subs),,,,,,,,,,Single Tickets,,,,,,,,,,Subscription Tickets,,,,Hall Data,,,Audience Data,,,Revenue last week,Increase over week
Wk #,# Weeks Until Perf,Perf. Week (Mon),Performance,,,Performance Date(s),Performance Type,% OCC Target,Actual OCC SOLD,Actual Total Tickets Sold,Total Actual Revenue,TOTAL BUDGET,Actual - Budget,Projected Total OCC at Performance,Projected Total Tickets Sold,Projected Total Revenue,Projected- Budget,Actual Single Tickets Sold,Maximum Single Ticket Capacity,Target Single Tickets for % OCC Target,Projected Single Tickets,Projected Single Ticket Revenue,Projected Single Tickets vs % OCC Target,Actual Revenue,BUDGET,"Actual/
Budget %",Projected/ Budget %,Actual Sub Tickets Sold,Actual Revenue,BUDGET,Actual vs Budget %,Max CAP,Single Ticket ATP,# New HH,# Ret HH,# Total HH,,,
1,-7,9/1/2025,26 Morgan Freeman's Symphonic Blues,,,9/2/2025,Specials,85%,89%,"  1,160 "," $ 137,698 "," $ 153,473 "," $ (15,775)",#N/A,#N/A,#N/A,#N/A,"  1,160 ","  1,302 ","  1,107 ",#N/A,#N/A,#N/A," $ 137,698 "," $ 153,473 ",90%,#N/A,,, $ -   ,,"  1,302 ", $ 119 ,228,295,523,"$137,698.00 ",$0.00,
1,-7,9/1/2025,26 Morgan Freeman's Symphonic Blues,,,9/3/2025,Specials,85%,87%,"  1,139 "," $ 134,386 "," $ 153,474 "," $ (19,088)",#N/A,#N/A,#N/A,#N/A,"  1,139 ","  1,302 ","  1,107 ",#N/A,#N/A,#N/A," $ 134,386 "," $ 153,474 ",88%,#N/A,,, $ -   ,,"  1,302 ", $ 118 ,227,289,516,"$134,386.00 ",$0.00,
1,-7,9/1/2025,26 La nuit sombre,,,9/5/2025,Specials,85%,117%,  699 ," $ 20,005 "," $ 55,000 "," $ (34,995)",#N/A,#N/A,#N/A,#N/A,  699 ,  600 ,  510 ,#N/A,#N/A,#N/A," $ 20,005 "," $ 55,000 ",36%,#N/A,,, $ -   ,,  600 , $ 29 ,86,209,295,"$20,005.00 ",$0.00,
2,-6,9/8/2025,OPEN - Recording Week,,,,,,#DIV/0!,  -   ,,,,,#N/A,#N/A,#N/A,,  -   ,  -   ,#N/A,#N/A,,,,,,,,,N/A,,,,,,,,
3,-5,9/15/2025,26 PS1 Music of Journey,,,9/19/2025,Pops,85%,71%,"  1,127 "," $ 75,283 "," $ 100,666 "," $ (25,383)",#N/A,#N/A,#N/A,#N/A,  512 ,  975 ,  829 ,#N/A,#N/A,#N/A," $ 29,914 "," $ 59,333 ",50%,#N/A,  615 ," $ 45,369 "," $ 41,333 ",110%,"  1,590 ", $ 58 ,67,416,483,"$71,854.60 ","$3,428.00",
3,-5,9/15/2025,26 PS1 Music of Journey,,,9/20/2025,Pops,85%,67%,"  1,068 "," $ 74,220 "," $ 100,667 "," $ (26,447)",#N/A,#N/A,#N/A,#N/A,  554 ,"  1,076 ",  915 ,#N/A,#N/A,#N/A," $ 35,672 "," $ 59,333 ",60%,#N/A,  514 ," $ 38,548 "," $ 41,334 ",93%,"  1,590 ", $ 64 ,78,376,454,"$70,013.30 ","$4,207.00",
