,# weeks out,,,,,,,,,,,,,,,,,,,,
Single Tickets,5,4,3,2,1,0,,,,,Estimates Only,,,,Historical Data,,,,,,
PS1 Journey,11-Aug,18-Aug,25-Aug,1-Sep,8-Sep,15-Sep,# Single Tickets to sell out 100%,Projected OCC%,,# Weeks Until Performance,10,9,8,7,6,5,4,3,2,1,0
9/19/2025 Sales (Fri),60,160,205,262,311,390,  942 ,69%,,Classical,15%,18%,21%,24%,27%,30%,33%,39%,46%,59%,100%
9/20/2025 Sales (Sat),63,206,250,294,360,422,"  1,020 ",66%,,Pops,15%,18%,21%,24%,27%,30%,33%,39%,46%,59%,100%
9/21/2025 Sales (Sun),57,219,296,322,444,516,"  1,232 ",56%,,Specials,15%,18%,21%,24%,27%,30%,33%,39%,46%,59%,100%
Pace for 85% OCC,271,299,353,416,534,905,1065,,,Other,15%,18%,21%,24%,27%,30%,33%,39%,46%,59%,100%
Avg/Show vs Target Pace:,-211,-104,-103,-124,-162,-462,,,,,,,,,,,,,,,
,,,,,,,OCC Target,,,,,,,,,,,,,,
,,,,,,,85%,,,,,,,,,,,,,,
