,,,,Status:,Updated 9/15,,Denotes Piazza,Update all fields in Blue each week,We expect 50% of Single Sales 1 Week Prior,85%+ occupancy,,,,95%+ of Budget,,,,100%+ of Target,, ,,,,,,,,,,,,,,
,,,,,,,,,,70-85% occupancy,,,,85-95% of Budget,,,,90-99% of Target,,,,,,,,,,,,,,,,
,,,,,,Week #,,,,<70% occupancy,,,,<85% of Budget,,,,<90% of Target,,,,,,,,,,,,,,,,
,,,TICKET SALES REPORT as of 9/15/2025,,,3,,TOTAL SALES (Singles + Subs),,,,,,,Single Tickets,,,,,,,,Subscription Tickets,,,,Hall Data,,,Audience Data,,,Revenue last week,Increase over week
Wk #,# Weeks Until Perf,Perf. Week (Mon),Performance,,,Performance Date(s),Performance Type,Actual Total Tickets Sold,Projected Single Tickets + Actual Subs,Projected Total OCC at Performance,Total Actual Revenue,TOTAL BUDGET,"Actual/
Budget %",Projected/ Budget %,Actual Single Tickets Sold,Target Single Tickets for 85% OCC,Projected Single Tickets,Projected Single Tickets vs 85% OCC Target,Actual Revenue,BUDGET,"Actual/
Budget %",Projected/ Budget %,Actual Sub Tickets Sold,Actual Revenue,BUDGET,Actual vs Budget %,Max CAP,Actual OCC SOLD,Single Ticket ATP,# New HH,# Ret HH,# Total HH,,
1,-2,9/1/2025,26 Morgan Freeman's Symphonic Blues,,,9/2/2025,Specials,"  1,169 ",#N/A,#N/A," $ 137,698 "," $ 153,473 ",90%,#N/A,"  1,169 ","  1,107 ",#N/A,#N/A," $ 137,698 "," $ 153,473 ",90%,#N/A,,, $ -   ,,"  1,302 ",90%, $ 118 ,228,295,523,"$137,698.00 ",$0.00
1,-2,9/1/2025,26 Morgan Freeman's Symphonic Blues,,,9/3/2025,Specials,"  1,148 ",#N/A,#N/A," $ 134,386 "," $ 153,473 ",88%,#N/A,"  1,148 ","  1,107 ",#N/A,#N/A," $ 134,386 "," $ 153,473 ",88%,#N/A,,, $ -   ,,"  1,302 ",88%, $ 117 ,227,289,516,"$134,386.00 ",$0.00
1,-2,9/1/2025,26 La nuit sombre,,,9/5/2025,Specials,  699 ,#N/A,#N/A," $ 20,005 "," $ 15,000 ",133%,#N/A,  699 ,  510 ,#N/A,#N/A," $ 20,005 "," $ 15,000 ",133%,#N/A,,, $ -   ,,  600 ,117%, $ 29 ,86,209,295,"$20,005.00 ",$0.00
2,-1,9/8/2025,OPEN - Recording Week,,,,,  -   ,#N/A,,,,#DIV/0!,,,,#N/A,,,,,,,,,N/A,,#DIV/0!,,,,,,
3,0,9/15/2025,26 PS1 Music of Journey,,,9/19/2025,Pops,"  1,092 ","  1,092 ",69%," $ 71,855 "," $ 100,666 ",71%,71%,  444 ,  801 ,  444 ,55%," $ 24,387 "," $ 59,333 ",41%,49%,  648 ," $ 47,468 "," $ 41,333 ",115%,"  1,590 ",69%, $ 66 ,67,416,483,"$69,230.00 ","$2,624.60"
3,0,9/15/2025,26 PS1 Music of Journey,,,9/20/2025,Pops,"  1,043 ","  1,043 ",66%," $ 70,013 "," $ 100,667 ",70%,70%,  473 ,  867 ,  473 ,55%," $ 28,248 "," $ 59,333 ",48%,54%,  570 ," $ 41,765 "," $ 41,334 ",101%,"  1,590 ",66%, $ 67 ,78,376,454,"$67,949.00 ","$2,064.30"
3,0,9/15/2025,26 PS1 Music of Journey,,,9/21/2025,Pops,  884 ,  884 ,56%," $ 56,072 "," $ 100,666 ",56%,56%,  526 ,"  1,047 ",  526 ,50%," $ 31,174 "," $ 59,333 ",53%,56%,  358 ," $ 24,898 "," $ 41,333 ",60%,"  1,590 ",56%, $ 63 ,74,286,360,"$52,671.00 ","$3,401.30"
4,1,9/22/2025,26 FS1 The Orchestra Games,,,9/28/2025,Family,  487 ,  624 ,48%," $ 12,684 "," $ 19,500 ",65%,83%,  197 ,  860 ,  334 ,39%," $ 6,207 "," $ 10,000 ",62%,87%,  290 ," $ 6,477 "," $ 9,500 ",68%,"  1,302 ",37%, $ 26 ,21,104,125,"$12,086.00 ",$598.00
5,2,9/29/2025,Chicken Fried,,,10/4/2025,Specials,  201 ,  437 ,27%," $ 15,091 "," $ 58,000 ",26%,57%,  201 ,"  1,352 ",  437 ,32%," $ 15,091 "," $ 58,000 ",26%,57%,,,,,"  1,590 ",13%, $ 75 ,7,70,77,"$14,181.00 ",$910.00
6,3,10/6/2025,26 CS01 Appalachian Spring,,,10/10/2025,Classical,  743 ,"  1,098 ",77%," $ 47,640 "," $ 100,000 ",48%,70%,  227 ,  779 ,  582 ,75%," $ 12,933 "," $ 16,666 ",78%,224%,  516 ," $ 34,707 "," $ 33,333 ",104%,"  1,433 ",52%, $ 64 ,13,370,383,"$47,326.00 ",$314.00
6,3,10/6/2025,26 CS01 Appalachian Spring,,,10/11/2025,Classical,  837 ,"  1,237 ",86%," $ 55,614 "," $ 100,000 ",56%,82%,  256 ,  724 ,  656 ,91%," $ 16,296 "," $ 16,666 ",98%,262%,  581 ," $ 39,318 "," $ 33,333 ",118%,"  1,433 ",58%, $ 66 ,21,386,407,"$52,503.00 ","$3,111.10"
6,3,10/6/2025,26 CS01 Appalachian Spring,,,10/12/2025,Classical,  919 ,"  1,418 ",99%," $ 57,933 "," $ 100,000 ",58%,89%,  319 ,  708 ,  818 ,116%," $ 19,152 "," $ 16,666 ",115%,309%,  600 ," $ 38,781 "," $ 33,334 ",116%,"  1,433 ",64%, $ 63 ,17,455,472,"$55,606.00 ","$2,326.60"
7,4,10/13/2025,26 Top Gun: Maverick in Concert,,,10/17/2025,Specials/Film,  645 ,"  1,955 ",150%," $ 48,750 "," $ 103,497 ",47%,143%,  645 ,"  1,107 ","  1,955 ",177%," $ 48,750 "," $ 103,497 ",47%,143%,,,,,"  1,302 ",50%, $ 76 ,51,179,230,"$46,261.00 ","$2,489.00"
7,4,10/13/2025,26 Top Gun: Maverick in Concert,,,10/18/2025,Specials/Film,  808 ,"  2,448 ",188%," $ 60,628 "," $ 103,497 ",59%,178%,  808 ,"  1,107 ","  2,448 ",221%," $ 60,628 "," $ 103,497 ",59%,178%,,,,,"  1,302 ",62%, $ 75 ,74,184,258,"$55,583.00 ","$5,045.00"
