Fiscal Year,Performance,Extracted Series,Category
"FY24","Beethoven's Fifth","Classical","Classical"
"FY24","Bolero/Xavier Foley","Classical","Classical"
"FY24","Explore Your Imagination","Classical","Classical"
"FY24","Joshua Bell","Classical","Classical"
"FY24","Joyce DiDonato","Classical","Classical"
"FY24","Joyce Yang/Tchaikovsky PC 1","Classical","Classical"
"FY24","Kahane/Beethoven PC4","Classical","Classical"
"FY24","Mahler's Resurrection","Classical","Classical"
"FY24","Matthias Pintscher/Quint","Classical","Classical"
"FY24","Mendelssohn/Barber/Sibelius","Classical","Classical"
"FY24","Mozart VC No. 5","Classical","Classical"
"FY24","Mozart VC No. 5 & Korngold","Classical","Classical"
"FY24","Music Illuminates the Soul","Classical","Classical"
"FY24","Pamela Frank/Beethoven VC","Classical","Classical"
"FY24","The Music is Calling","Classical","Classical"
"FY24","Through the Lens","Classical","Classical"
"FY24","You Belong","Classical","Classical"
"FY24","Around the World in 80 Days","Family","Family"
"FY24","Christmas Festival","Family","Family"
"FY24","Heroes and Villains","Family","Family"
"FY24","Heros and Villains","Family","Family"
"FY24","Legend of the Northern Lights","Family","Family"
"FY24","Film: Goonies in Concert","Film","Film"
"FY24","Film: Harry Potter 7 Deathly Hallows        Sept. 6-8, 10","Film","Film"
"FY24","Film: Harry Potter 8 Deathly Hallows   Sept. 6-8, 10","Film","Film"
"FY24","Film: Muppet Christmas Carol","Film","Film"
"FY24","Film: Nightmare Before Christmas","Film","Film"
"FY24","Audra McDonald","Pops","Pops"
"FY24","Bond & Beyond","Pops","Pops"
"FY24","Cirque Carmen","Pops","Pops"
"FY24","Sci-Fi Spectacular","Pops","Pops"
"FY24","Symphonic Genesis & Phil Collins","Pops","Pops"
"FY24","Cathie Ryan","Other","Specials"
"FY24","Handel's Messiah","Other","Specials"
"FY24","Music of Led Zeppelin","Other","Specials"
"FY24","Phantom of the Opera","Other","Specials"
"FY24","Tech N9ne","Other","Specials"
"FY24","The Music of Tina Turner","Other","Specials"
"FY24","Tower of Power","Other","Specials"
"FY24","Yo-Yo Ma","Other","Specials"
"FY25","Beethoven 7/Conrad Tao","Classical","Classical"
"FY25","Beethoven 7/Conrad Tao (SP)","Classical","Classical"
"FY25","Beethoven VC/Wagner","Classical","Classical"
"FY25","Beethoven VC/Wagner (SP)","Classical","Classical"
"FY25","French Masters","Classical","Classical"
"FY25","Genius of Mozart","Classical","Classical"
"FY25","Haydn/Britten/Mozart 23","Classical","Classical"
